t_rel_s,stamp_s,recv_s,latency_ms,gap_since_prev_ms,tx,ty
20.095,1788242749.552829,1788242748.651617,-901.212,101.188,7e-05,-0.00798
20.196,1788242749.655919,1788242748.752818,-903.101,101.201,7e-05,-0.00798
20.3,1788242749.758501,1788242748.857226,-901.275,104.408,7e-05,-0.00798
20.403,1788242749.861919,1788242748.959569,-902.35,102.343,7e-05,-0.00798
20.508,1788242749.965394,1788242749.064956,-900.438,105.387,7e-05,-0.00798
20.611,1788242750.068751,1788242749.167889,-900.862,102.933,7e-05,-0.00798
20.713,1788242750.171988,1788242749.269335,-902.654,101.446,7e-05,-0.00798
20.82,1788242750.274924,1788242749.376335,-898.589,107.0,7e-05,-0.00798
20.924,1788242750.378003,1788242749.480735,-897.268,104.4,7e-05,-0.00798
21.025,1788242750.481063,1788242749.582258,-898.804,101.524,7e-05,-0.00798
21.127,1788242750.584429,1788242749.68403,-900.399,101.771,7e-05,-0.00798
21.231,1788242750.687781,1788242749.787776,-900.005,103.746,7e-05,-0.00798
21.333,1788242750.791111,1788242749.889749,-901.362,101.973,7e-05,-0.00798
21.436,1788242750.894023,1788242749.992713,-901.31,102.964,7e-05,-0.00798
21.538,1788242750.997399,1788242750.095165,-902.234,102.452,7e-05,-0.00798
21.645,1788242751.100396,1788242750.201813,-898.583,106.648,7e-05,-0.00798
21.747,1788242751.204147,1788242750.303282,-900.865,101.469,7e-05,-0.00798
21.849,1788242751.306859,1788242750.405675,-901.184,102.393,7e-05,-0.00798
21.951,1788242751.410074,1788242750.507571,-902.503,101.896,7e-05,-0.00798
22.057,1788242751.513232,1788242750.613461,-899.771,105.89,7e-05,-0.00798
22.16,1788242751.616438,1788242750.716572,-899.867,103.111,7e-05,-0.00798
22.263,1788242751.719749,1788242750.819664,-900.085,103.092,7e-05,-0.00798
22.37,1788242751.822815,1788242750.927184,-895.631,107.52,7e-05,-0.00798
22.468,1788242751.927355,1788242751.02482,-902.535,97.636,7e-05,-0.00798
22.57,1788242752.029407,1788242751.126821,-902.586,102.001,7e-05,-0.00798
22.673,1788242752.132731,1788242751.229944,-902.787,103.122,7e-05,-0.00798
22.785,1788242752.235901,1788242751.341775,-894.125,111.832,7e-05,-0.00798
22.881,1788242752.338928,1788242751.437567,-901.361,95.792,7e-05,-0.00798
22.989,1788242752.442065,1788242751.545494,-896.572,107.927,7e-05,-0.00798
23.092,1788242752.545539,1788242751.648502,-897.037,103.009,7e-05,-0.00798
23.194,1788242752.648667,1788242751.750997,-897.671,102.494,7e-05,-0.00798
23.294,1788242752.752145,1788242751.850444,-901.7,99.448,7e-05,-0.00798
23.402,1788242752.855184,1788242751.958659,-896.525,108.215,7e-05,-0.00798
23.5,1788242752.958261,1788242752.056879,-901.383,98.22,7e-05,-0.00798
23.605,1788242753.061594,1788242752.161516,-900.078,104.637,7e-05,-0.00798
