t_rel_s,stamp_s,x,y,yaw_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw,trace_xy,sigma_x_m,sigma_y_m,sigma_yaw_deg
380.864,1788243109.31368,25.8568,-1.9332,-20.254,0.464975,-0.0771596,0.107581,0.132593,0.572556,0.68189,0.32800,20.8633
382.308,1788243110.76356,26.1208,-2.03,-3.835,0.496207,-0.083307,0.107533,0.125531,0.60374,0.70442,0.32792,20.3001
382.725,1788243111.177997,26.1329,-2.0363,10.059,0.534257,-0.0939529,0.0752822,0.0892959,0.60954,0.73093,0.27438,17.1214
383.151,1788243111.593267,26.137,-2.0256,24.059,0.568285,-0.092754,0.0549308,0.0643027,0.623216,0.75385,0.23437,14.5290
383.601,1788243112.008204,26.1302,-2.0328,36.317,0.574595,-0.0772042,0.0410816,0.0503893,0.615677,0.75802,0.20269,12.8615
383.972,1788243112.422986,26.15,-2.0428,48.306,0.516541,-0.0678472,0.0319279,0.0360138,0.548469,0.71871,0.17868,10.8732
384.385,1788243112.837588,26.1394,-2.0523,60.224,0.534784,-0.0639581,0.0308429,0.0308869,0.565627,0.73129,0.17562,10.0695
384.793,1788243113.253038,26.191,-2.0617,72.211,0.535743,-0.0684193,0.0363972,0.0295819,0.57214,0.73194,0.19078,9.8545
385.738,1788243114.188586,26.1926,-2.0177,83.055,0.578075,-0.0707669,0.0319169,0.0239086,0.609992,0.76031,0.17865,8.8593
386.872,1788243115.329099,26.1904,-1.9656,94.506,0.557324,-0.07309,0.03046,0.0199436,0.587784,0.74654,0.17453,8.0914
388.015,1788243116.470668,26.1731,-1.9086,106.438,0.551631,-0.0706089,0.0301728,0.0178616,0.581804,0.74272,0.17370,7.6574
389.15,1788243117.612398,26.182,-1.858,118.085,0.566695,-0.0779996,0.0312943,0.0178392,0.597989,0.75279,0.17690,7.6526
390.395,1788243118.85693,26.1363,-1.8047,129.592,0.574477,-0.0750744,0.0293619,0.0179709,0.603839,0.75794,0.17135,7.6808
392.678,1788243121.140413,26.0968,-1.7661,116.001,0.572615,-0.0840668,0.0342405,0.0304107,0.606855,0.75671,0.18504,9.9916
393.096,1788243121.554958,26.0718,-1.7602,104.165,0.589198,-0.0863492,0.0356281,0.0300389,0.624826,0.76759,0.18875,9.9304
393.512,1788243121.96952,26.0799,-1.7628,91.858,0.609434,-0.0905489,0.0384973,0.030558,0.647931,0.78066,0.19621,10.0158
393.929,1788243122.384172,26.0721,-1.7586,79.494,0.60575,-0.0808932,0.0383839,0.0277976,0.644134,0.77830,0.19592,9.5527
394.343,1788243122.799037,26.0503,-1.7652,67.767,0.605342,-0.0812314,0.0373474,0.0295719,0.64269,0.77804,0.19325,9.8529
394.761,1788243123.212213,26.0845,-1.7702,55.42,0.598619,-0.0774139,0.032984,0.0292221,0.631603,0.77370,0.18162,9.7944
